Date	Hours
2016-07-31	2.0
2016-08-01	4.0
2016-08-20  2.3
2016-08-30  0.5
2016-09-16  1.5
2016-09-17  1.0
2016-10-05  0.25
2016-10-07  3.0
2016-10-10  1.0
2016-10-11  1.0
2016-10-12  1.0
2016-10-13  1.0
2016-10-15  3.0
2016-10-16  1.0 Types
2016-10-17  1.0
2016-10-18  1.0
2016-10-20  2.0
2016-10-22  1.0
2016-10-23  2.0
2016-10-24  3.0
2016-10-25  0.25
2016-10-26  0.5
2016-10-28  0.75
2016-10-29  4.0 Smaller than minifier
2016-10-30  4.5
2016-11-04  1.5
2016-11-05  1.5
2016-11-12  2.0
2016-12-28  1.0
2016-12-29  1.0
2016-12-30  1.5

2017-01-12 1.0
2017-01-13 0.75

// TODO: Branching, optimizers needs to mark optimization points so they don't spawn infinite branches
// TODO: Sharing functions between shaders, non-colliding identifiers and C-stub for concatenation

// TODO: Inline functions of multiple lines
// TODO: Fix squeeze, what is the problem?
// TODO: Add more complex arithmetic simplifications

// -- Seems to be bugs in the node finder utils

2018-03-30  3.0 Doing arithmetic simplification framework during Revision.
2018-03-31  3.0 Doing arithmetic simplification framework during Revision.
2018-04-05  2.0 Fixing junit 5 and more simplifications on the plane to Hong Kong.
2018-04-15  3.5 Rewriting CLI interface, adding more simplifications and starting on inline functionality on the plane to Bangkok.
2018-04-30  1.0 Refactoring the optimizer instantiation.
2018-05-01  0.5 Applying the optimizer and fixing bug in type checker.
2018-05-22  4.0 Scaffolding for branching optimizations, continuing with function inline.
2018-05-23  0.5 Getting basic function inlining to work.
2018-05-26  2.0 Fix reference problems when creating new variable and function nodes.
2018-05-28  0.5 Fixing a registry for keeping track of optimizations.
